Country,GDP per capita (USD),Life satisfaction
Afghanistan,1904.5599,4.25835
Albania,13317.093,4.7186
Algeria,11826.151,5.872
Angola,8239.831,4.033
Argentina,23189.527,6.599
Armenia,11303.067,4.376
Australia,48116.03,7.284
Azerbaijan,14232.192,5.234
Bahrain,47937.71,6.087
Bangladesh,3920.1445,4.608
Belarus,17883.127,5.569
Belgium,49829.926,6.891
Belize,7206.9526,5.956
Benin,2961.4404,3.657
Bhutan,10775.19,5.011
Bolivia,8202.544,5.823
Bosnia and Herzegovina,13194.331,5.182
Botswana,15654.682,3.766
Brazil,14451.153,6.635
Bulgaria,20740.795,4.714
Burkina Faso,1981.4298,4.032
Burundi,794.60425,2.905
Cambodia,3728.0996,4.168
Cameroon,3634.381,4.695
Canada,47457.586,7.316
Central African Republic,884.4952,7.316
Chad,1687.0536,3.936
Chile,24531.357,6.652
China,13399.138,5.273
Colombia,14194.516,6.357
Congo,4544.0757,4.291
Ecuador,11551.616,6.008
Egypt,10795.809,4.735
El Salvador,8309.9,6.003
Estonia,32008.934,5.611
Ethiopia,1894.8973,4.46
Finland,46206.79,7.469
France,43705.15,6.442
Gabon,15359.74,4.465
Georgia,12963.744,4.286
